"","IMPCTY","avg_probability"
"1","1",0.0797729992864653
"2","3",0.0462702434031655
"3","5",0.0690724329926907
"4","7",0.0932007528366779
"5","9",0.081889624075719
"6","11",0.0645042023035001
"7","13",0.0607334123250663
"8","15",0.0785248669190425
"9","17",0.0745818317780839
"10","19",0.107119808019011
"11","21",0.0932550274515433
"12","23",0.0809107976241318
"13","25",0.0630143488695495
"14","27",0.104584627864141
"15","29",0.11695791611016
"16","31",0.0718848009167837
